title,artist,top10,peak_rank,ar1_coef,ma1_coef,ar1_manual,model_aic,mean_streams,std_streams,trend_slope,peak_day,volatility,early_late_ratio,danceability,energy,valence,tempo,acousticness,loudness,speechiness
Ex Bitch,XXXTENTACION,0,43,-0.09666732005489313,-0.9996760514447292,-0.5488278570275773,572.2658255455424,164243.7142857143,290530.4411361665,1647.1883116883105,2,447362.0185707851,0.894374333593265,0.835,0.462,0.702,78.99,0.513,-6.227,0.155
Exclusividade - Ao Vivo,Matheus & Kauan,0,27,-0.6851950546420497,0.9927355703758775,-0.09010036483857681,431.05536036852016,64890.142857142855,12771.534633095342,1120.5727272727283,8,9920.796422036892,0.728614639537974,0.615,0.944,0.782,94.69,0.187,-4.115,0.2
Eye of the Tiger,Survivor,0,103,-0.5668889989493939,-0.917773587683212,-0.8190673778023178,468.1097861296911,26948.47619047619,25309.005919442694,-104.35844155844124,1,45720.70466145507,0.9643370633592746,0.817,0.599,0.548,108.873,0.132,-9.249,0.0328
E先生 連環不幸事件,Edan 呂爵安,1,1,-0.830639321918783,0.9999930790937107,-0.09918426537183969,369.4932543074441,12102.47619047619,1926.4556306990708,97.33766233766212,20,2063.7525263461216,0.944992769756926,0.497,0.454,0.323,164.012,0.543,-9.386,0.0303
F.N,Lil Tjay,0,23,-0.8803944622698818,-0.014217466741068094,-0.8977324021563746,521.670921291196,132468.33333333334,100952.36783247894,2057.893506493512,20,184070.63460935315,0.7170216949257778,0.567,0.515,0.321,120.1,0.354,-10.265,0.247
FAKE LOVE,BTS,1,1,0.0718895134532091,-0.9690236659798822,-0.2817122644037842,477.1237839914024,26361.571428571428,27068.342258547167,-545.7844155844157,11,38436.32495761659,1.494239911836693,0.557,0.719,0.345,77.502,0.00267,-4.515,0.0371
FANCY,TWICE,1,3,-0.06884041380913217,-0.5754445449403527,-0.36704675978236045,562.5971233506241,100112.33333333333,214869.40693567542,2138.7558441558404,18,291880.1971331731,0.6831793096133383,0.697,0.874,0.775,132.018,0.0122,-2.15,0.0449
FEVER,ENHYPEN,0,20,-0.24805681764039475,-0.9988169573372034,-0.5649378224368945,454.2453922246183,20917.285714285714,15713.808026072871,-129.3389610389612,2,25513.734354068984,1.1033903524734736,0.6,0.713,0.471,72.999,0.0642,-5.079,0.0592
"FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX",Travis Scott,0,53,-0.18874001300725834,-0.9987850438304329,-0.5731019957017885,371.6204891988677,59242.333333333336,93802.19023787355,39.23571428571647,8,153466.2599637132,1.0,0.859,0.77,0.348,155.025,0.0056,-5.358,0.345
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,1,1,-0.30911024452213826,-0.5245283598853785,-0.5135213154425572,477.11404397847366,27643.333333333332,25322.307489705097,-780.6766233766242,0,37398.21202932033,1.0688072172546375,0.835,0.699,0.547,154.981,0.00671,-5.405,0.277
